URI,Album,Song Name,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
0VE4kBnHJUgtMf0dy6DRmW,Reputation,Getaway Car,1,9,87,False,0.562,0.6890000000000001,2,-6.745,1,0.127,0.00465,2.23e-06,0.0888,0.35100000000000003,172.054,233627,4
1qrpoAMXodY6895hGKoUpA,Fearless,You Belong With Me,1,6,87,False,0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033,231124,4
1hjRhYpWyqDpPahmSlUTlc,1989,Style,1,3,87,False,0.575,0.8240000000000001,2,-4.823,1,0.038,0.00041799999999999997,0.0214,0.0901,0.292,94.971,231000,4
3RauEVgRgj1IuWdJ9fDs70,Lover,The Man,1,4,86,False,0.777,0.6579999999999999,0,-5.191,1,0.054000000000000006,0.0767,0.0,0.0901,0.633,110.04799999999999,190360,4
1P17dC1amhFzptugyAO7Il,Reputation,Look What You Made Me Do,1,6,86,False,0.7659999999999999,0.7090000000000001,9,-6.471,0,0.12300000000000001,0.204,1.4099999999999999e-05,0.126,0.506,128.07,211853,4
4y5bvROuBDPr5fuwXbIBZR,Lover,Paper Rings,1,8,86,False,0.8109999999999999,0.7190000000000001,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,222400,4
3rWDp9tBPQR9z6U5YyRSK4,Midnights,Midnight Rain,1,6,85,False,0.643,0.363,0,-11.738,1,0.0767,0.69,5.17e-05,0.115,0.23,139.865,174783,4
79uDOz0zuuWS7HWxzMmTa2,Speak Now,Back To December,1,3,85,False,0.4970000000000001,0.635,2,-3.927,1,0.0273,0.00621,0.0,0.11699999999999999,0.203,142.063,294190,4
5jQI2r1RdgtuT8S3iG8zFC,Midnights,Lavender Haze,1,1,85,True,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,202396,4
77sMIMlNaSURUAXq5coCxE,Fearless,Fearless,1,1,85,False,0.569,0.741,5,-4.963,1,0.0282,0.0122,0.0,0.33299999999999996,0.43,100.118,241592,4
2yLa0QULdQr0qAIvVwN6B5,Reputation,...Ready For It?,1,1,85,False,0.613,0.764,2,-6.5089999999999995,1,0.136,0.0527,0.0,0.19699999999999998,0.41700000000000004,160.015,208187,4
4D7BCuvgdJlYvlX5WlN54t,Midnights,"You're On Your Own, Kid",1,5,85,False,0.696,0.396,2,-10.289000000000001,1,0.0656,0.401,5.2e-06,0.125,0.38,120.041,194207,4
4NioO5R9sHEZh4cGzMHyNt,1989,Say Don't Go,1,18,85,False,0.626,0.547,4,-8.285,1,0.0342,0.0656,1.67e-05,0.149,0.192,109.946,279833,4
45wMBGri1PORPjM9PwFfrS,1989,Blank Space,1,2,85,False,0.737,0.725,0,-5.4170000000000025,1,0.0641,0.0976,0.0,0.174,0.755,96.012,231833,4
3qoftcUZaUOncvIYjFSPdE,Midnights,Bejeweled,1,9,84,False,0.696,0.5589999999999999,7,-9.19,1,0.0693,0.0618,5.5799999999999994e-05,0.0887,0.433,163.99900000000005,194166,4
6RRNNciQGZEXnqk8SQ9yv5,Lover,You Need To Calm Down,1,14,84,False,0.7709999999999999,0.6709999999999999,2,-5.617000000000001,1,0.0553,0.009290000000000001,0.0,0.0637,0.7140000000000001,85.02600000000002,171360,4
214nt20w5wOxJnY462klLw,Lover,Miss Americana & The Heartbreak Prince,1,7,84,False,0.662,0.747,11,-6.926,0,0.0736,0.027999999999999997,0.00615,0.138,0.48700000000000004,150.088,234147,4
1fzAuUVbzlhZ1lJAx9PtY6,Lover,Daylight,1,18,84,False,0.557,0.496,0,-9.602,1,0.0563,0.8079999999999999,0.000173,0.0772,0.265,149.983,293453,4
1ZY1PqizIl78geGM4xWlEA,Reputation,Gorgeous,1,8,84,False,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48e-06,0.213,0.451,92.027,209680,4
7G0gBu6nLdhFDPRLc0HdDG,Speak Now,Mine,1,1,84,False,0.6459999999999999,0.7829999999999999,7,-2.846,1,0.0356,0.0044399999999999995,1.38e-06,0.171,0.49,121.08,231707,4
22bPsP2jCgbLUvh82U0Z3M,Fearless,The Way I Loved You,1,10,83,False,0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.10800000000000001,0.47200000000000003,161.032,243137,4
